objectid,filename,vimeoid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,object_location
bricks001,bricks001.png,,Bricks for Africa,application/pdf,Short passage describing the shipment of Union Brick Works to South Africa.,The Clay-Worker,,"July 1, 1897",yes,single-page; newspaper,"Clay industries, Brick trade ",South Africa,30.5595,22.9375,The Clay-Worker,The Internet Archive,T.A. Randall & Co.,,Bricks for Africa.png,Bricks for Africa,"Restrictions may exist on reproduction, quotation, or publication. Contact UW Libraries, Special Collections, Reproduction Services for more information",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,
bricks002,bricks002.jpeg,,"Canadian Fish & Cold Storage Co, Ltd Head Office and Plant",image/jpeg,Canadian company with building composed of bricks from The Far West Clay Company.,Unknown author,,1905-03-25,yes,single-page; photographs,"Clay industries, Brick trade ","Prince Rupert, BC,",54.315,130.3208,,Freshwater and Marine Image Bank,University of Washington Special Collections,,"Canadian Fish & Cold Storage Co, Ltd Head Office and Plant- Prince Rupert BC.jpeg","Canadian Fish & Cold Storage Co, Ltd Head Office and Plant","Restrictions may exist on reproduction, quotation, or publication. Contact UW Libraries, Special Collections, Reproduction Services for more information",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
bricks003,bricks003.png,,Clay workers of the Pacific Northwest Convention at Portland Oregon,image/jpeg,Clay workers of the Pacific Northwest Convention at Portland Oregon.,The Clay-Worker,,1905-03-21,yes,single-page; photographs,"Clay industries, Brick trade ","Portland, OR",45.5152,122.6784,The Clay-Worker,The Internet Archive,T.A. Randall & Co.,,Clay workers of the Pacific Northwest Convention at Portland Oregon.png,Clay workers of the Pacific Northwest Convention at Portland Oregon,"Restrictions may exist on reproduction, quotation, or publication. Contact UW Libraries, Special Collections, Reproduction Services for more information",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
bricks004,bricks004.png,,F.H. Goss Obituary,application/pdf,Passage describing the suicide of Fenton H. Goss,The Clay-Worker,,1913-01-01,yes,single-page; newspaper,"Clay industries, Brick trade ","5005 N. Orchard St. Tacoma, WA",47.2529,122.4443,The Clay-Worker,The Internet Archive,T.A. Randall & Co.,,F.H. Goss Obituary.png,F.H. Goss Obituary,"Restrictions may exist on reproduction, quotation, or publication. Contact UW Libraries, Special Collections, Reproduction Services for more information",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,
bricks005,bricks005.png,,F.W. Eastman,image/jpeg,Photograph of F.W.Eastman,The Clay-Worker,,1905-03-28,yes,single-page; photographs,"Clay industries, Brick trade ","Clay City, WA",46.9257,122.2559,The Clay-Worker,The Internet Archive,T.A. Randall & Co.,,F.W. Eastman.png,F.W. Eastman,"Restrictions may exist on reproduction, quotation, or publication. Contact UW Libraries, Special Collections, Reproduction Services for more information",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
bricks006,bricks006.png,,Far West Clay Co. Kiln Door,image/jpeg,Photograph of the interior of kiln number 5 at the Far West Clay Company. ,The Clay-Worker,,1905-03-25,yes,single-page; photographs,"Clay industries, Brick trade ","Clay City, WA",46.9257,122.2559,The Clay-Worker,The Internet Archive,T.A. Randall & Co.,,Far West Clay Co.3.png,Far West Clay Co. Kiln Door,"Restrictions may exist on reproduction, quotation, or publication. Contact UW Libraries, Special Collections, Reproduction Services for more information",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
bricks007,bricks007.png,,Far West Clay Co. Kiln Exterior,image/jpeg,Photograph of scaffolding. And kiln at the Far West Clay Company.,The Clay-Worker,,1905-03-25,yes,single-page; photographs,"Clay industries, Brick trade ","Clay City, WA",46.9257,122.2559,The Clay-Worker,The Internet Archive,T.A. Randall & Co.,,Far West Clay Co.2.png,Far West Clay Co. Kiln Exterior,"Restrictions may exist on reproduction, quotation, or publication. Contact UW Libraries, Special Collections, Reproduction Services for more information",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
bricks008,bricks008.png,,Far West Clay Co. Outdoor Scene,image/jpeg,Photograph of excavation machine in action on the Far West Clay Company grounds. ,The Clay-Worker,,1905-03-25,yes,single-page; photographs,"Clay industries, Brick trade ","Clay City, WA",46.9257,122.2559,The Clay-Worker,The Internet Archive,T.A. Randall & Co.,,Far West Clay Co.1.png,Far West Clay Co. Outdoor Scene,"Restrictions may exist on reproduction, quotation, or publication. Contact UW Libraries, Special Collections, Reproduction Services for more information",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
bricks009,bricks009.png,,Fox Island Clay Co,image/jpeg,Illustration of the Fox Island Clay Company.,Smalley's Magazine,,1905-03-01,yes,single-page; photographs,"Clay industries, Brick trade ","100 BRICK KILN RD, FOX ISLAND",47.2502,122.6343,Smalley's Magazine,The Internet Archive,Smalley's Magazine,,Fox Island Clay Co.png,Fox Island Clay Co,"Restrictions may exist on reproduction, quotation, or publication. Contact UW Libraries, Special Collections, Reproduction Services for more information",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
bricks010,bricks010.jpeg,,"Fox Island Clay Works viewed from the water, Washington, probably 1888 to 1900",image/jpeg,"Fox Island Clay Works viewed from the water, Washington, probably 1888 to 1900",Thomas H. Rutter,,1888-1900,yes,single-page; photographs,"Clay industries, Brick trade ","100 BRICK KILN RD, FOX ISLAND",47.2502,122.6343,,Industries and Occupations Photographs Collection,University of Washington Special Collections,,"Fox Island Clay Works viewed from the water, Washington, probably 1888 to 1900.jpeg","Fox Island Clay Works viewed from the water, Washington, probably 1888 to 1900","Restrictions may exist on reproduction, quotation, or publication. Contact UW Libraries, Special Collections, Reproduction Services for more information",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
